clients,dataset,exact_shapley_fully_covered,feasible,game_id,grand_worth,interaction_surplus,max_player_width,mean_player_width,nonempty_coordinate_intervals,nonnegative_pair_mass,nonnegative_singletons,nonnegative_triple_mass,normalized_sum_width,pair_mass,phase,slice_lower_bound,slice_upper_bound,source,sum_player_width,tolerance,triple_mass
8,fashion_mnist,False,True,114,0.0058380684064105485,0.00024368821254583655,1.6174417031568876e-07,1.6174417031560744e-07,True,True,True,True,0.00022164066472437708,0.00024271774752394285,development,True,True,confirmatory-20260903,1.2939533625248596e-06,1e-09,9.704650218936989e-07
8,fashion_mnist,,False,117,0.024593444420643044,0.00253335152255452,,,False,True,True,True,,0.0024853747379337647,development,True,True,confirmatory-20260903,,1e-09,4.797678462075544e-05
8,fashion_mnist,,False,120,0.02837393984168147,-0.00043236478944318896,,,False,False,True,False,,-0.0003744447262318054,development,False,False,confirmatory-20260903,,1e-09,-5.7920063211383543e-05
8,fashion_mnist,,False,123,0.11450827935163987,-0.003430354527210966,,,False,False,True,False,,-0.00014558543723874884,development,False,False,confirmatory-20260903,,1e-09,-0.003284769089972217
8,fashion_mnist,,False,126,0.005838068406410543,-2.260626495631784e-05,,,False,False,True,False,,-2.243369088506756e-05,development,False,False,confirmatory-20260903,,1e-09,-1.7257407125027824e-07
8,fashion_mnist,,False,129,0.026653018632360463,-0.0007613428739792275,,,False,False,True,False,,-0.0007353413913360404,development,False,False,confirmatory-20260903,,1e-09,-2.6001482643187024e-05
8,fashion_mnist,,False,132,0.028373939841681465,-0.0004377123104161128,,,False,False,True,False,,-0.0003787768127308973,development,False,False,confirmatory-20260903,,1e-09,-5.89354976852155e-05
8,fashion_mnist,,False,135,0.11465021367476654,-0.003571298806739162,,,False,False,True,False,,-0.0002803220473884954,development,False,False,confirmatory-20260903,,1e-09,-0.0032909767593506667
8,fashion_mnist,,False,138,0.005838068406410545,-2.3105931057255426e-05,,,False,False,True,False,,-2.296459228634789e-05,development,False,False,confirmatory-20260903,,1e-09,-1.41338770907537e-07
8,fashion_mnist,,False,141,0.026621866830727085,-0.000750606890240986,,,False,False,True,False,,-0.0007255344319633469,development,False,False,confirmatory-20260903,,1e-09,-2.5072458277639043e-05
8,fashion_mnist,,False,144,0.028373939841681454,-0.00043320620395437964,,,False,False,True,False,,-0.0003747011067044767,development,False,False,confirmatory-20260903,,1e-09,-5.850509724990294e-05
8,fashion_mnist,,False,147,0.1148466336439252,-0.003474172154237093,,,False,False,True,False,,-0.00014265568689394992,development,False,False,confirmatory-20260903,,1e-09,-0.003331516467343143
8,fashion_mnist,,False,150,0.005838068406410548,-3.0211709369230497e-05,,,False,False,True,False,,-2.9981341040480683e-05,development,False,False,confirmatory-20260903,,1e-09,-2.3036832874981372e-07
8,fashion_mnist,,False,153,0.026701343854404695,-0.0008398698177327704,,,False,False,True,False,,-0.0008111393226018157,development,False,False,confirmatory-20260903,,1e-09,-2.8730495130954714e-05
8,fashion_mnist,,False,156,0.02837393984168146,-0.00043744442584903176,,,False,False,True,False,,-0.00037794295237347786,development,False,False,confirmatory-20260903,,1e-09,-5.95014734755539e-05
8,fashion_mnist,,False,159,0.11477505170836164,-0.003617658552514863,,,False,False,True,False,,-0.0003047526488179908,development,False,False,confirmatory-20260903,,1e-09,-0.003312905903696872
8,fashion_mnist,,False,162,0.005838068406410545,-3.34313424931185e-05,,,False,False,True,False,,-3.318307662991942e-05,development,False,False,confirmatory-20260903,,1e-09,-2.4826586319907917e-07
8,fashion_mnist,,False,165,0.02670631880599195,-0.0008539475205226986,,,False,False,True,False,,-0.000823173771022135,development,False,False,confirmatory-20260903,,1e-09,-3.077374950056361e-05
8,fashion_mnist,,False,168,0.02837393984168147,-0.0004387885890122442,,,False,False,True,False,,-0.00038005659991311586,development,False,False,confirmatory-20260903,,1e-09,-5.873198909912836e-05
8,fashion_mnist,,False,171,0.11450972299190354,-0.003638410483341792,,,False,False,True,False,,-0.0003956928013355565,development,False,False,confirmatory-20260903,,1e-09,-0.0032427176820062353
8,fashion_mnist,,False,174,0.005838068406410544,-1.7101984410407625e-05,,,False,False,True,False,,-1.6946114765442263e-05,development,False,False,confirmatory-20260903,,1e-09,-1.5586964496536182e-07
8,fashion_mnist,,False,177,0.02663262768015883,-0.0006426718804482048,,,False,False,True,False,,-0.0006141703034270515,development,False,False,confirmatory-20260903,,1e-09,-2.85015770211533e-05
8,fashion_mnist,,False,0,0.14338702879290147,-0.010403484172723826,,,False,False,True,False,,-0.009996573716419072,development,False,False,confirmatory-large-update-20260903,,1e-09,-0.0004069104563047543
