game_id,utility,alpha,partition_seed,checkpoint_epoch,local_epochs,update_scale,base_weighted_update_norm_sum,base_max_weighted_update_norm,base_weighted_aggregate_norm,scaled_weighted_update_norm_sum,high_order_mass,relative_midpoint_gap,absolute_midpoint_gap,kendall_tau,sign_agreement,efficiency_defect,identity_residual
45,negative_brier,0.1,3253,15,20,0.0625,1.2836796078665895,0.260771921961767,0.5309647116252258,0.08022997549166185,0.0003813468318988507,4.634517497370618e-05,2.4050739009652913e-07,0.9999999999999998,1.0,-6.189682316692924e-08,4.254355326482732e-19
46,negative_cross_entropy,0.1,3253,15,20,0.0625,1.2836796078665895,0.260771921961767,0.5309647116252258,0.08022997549166185,0.00014001363741758898,1.3146564521306252e-05,1.9683273588745782e-07,0.9999999999999998,1.0,-9.138542533815297e-08,2.7920455872767883e-18
47,accuracy,0.1,3253,15,20,0.0625,1.2836796078665895,0.260771921961767,0.5309647116252258,0.08022997549166185,0.9045643153508205,0.7795414461359328,0.008419047619047625,0.6761234037828132,0.75,-0.008000000000000007,2.168404344971009e-18
48,negative_brier,0.1,3253,15,20,0.125,1.2836796078665895,0.260771921961767,0.5309647116252258,0.1604599509833237,0.0015480915223955707,0.00019073257494572234,1.9773605543842393e-06,0.9999999999999998,1.0,-5.490059996060559e-07,1.557111254849421e-18
49,negative_cross_entropy,0.1,3253,15,20,0.125,1.2836796078665895,0.260771921961767,0.5309647116252258,0.1604599509833237,0.0005639570423111847,5.4209868263483805e-05,1.612116010483132e-06,0.9999999999999998,1.0,-8.060917691121716e-07,3.1388923442876235e-18
50,accuracy,0.1,3253,15,20,0.125,1.2836796078665895,0.260771921961767,0.5309647116252258,0.1604599509833237,0.929914529913735,0.21810014971788355,0.006242857142857144,0.8058229640253803,0.75,0.0,1.3877787807814457e-17
51,negative_brier,0.1,3253,15,20,0.25,1.2836796078665895,0.260771921961767,0.5309647116252258,0.3209199019666474,0.006329030770033518,0.0008075997305837656,1.6686380361990896e-05,0.9999999999999998,1.0,-5.388168870246179e-06,1.362452495658542e-18
52,negative_cross_entropy,0.1,3253,15,20,0.25,1.2836796078665895,0.260771921961767,0.5309647116252258,0.3209199019666474,0.0022821273991634975,0.00023077017045915993,1.3527688869578508e-05,0.9999999999999998,1.0,-7.761273941642166e-06,7.169710382034025e-18
53,accuracy,0.1,3253,15,20,0.25,1.2836796078665895,0.260771921961767,0.5309647116252258,0.3209199019666474,0.9046538024966491,0.2419132301049516,0.015028571428571447,0.836501912571304,0.625,-0.009000000000000008,1.734723475976807e-17
54,negative_brier,0.1,3253,15,20,0.5,1.2836796078665895,0.260771921961767,0.5309647116252258,0.6418398039332948,0.025665856317776223,0.0036194707837524345,0.00014773714405671675,0.9999999999999998,1.0,-6.367688173042341e-05,3.733721231496956e-18
55,negative_cross_entropy,0.1,3253,15,20,0.5,1.2836796078665895,0.260771921961767,0.5309647116252258,0.6418398039332948,0.009271114249620344,0.0010827571938706543,0.000122947584155428,0.9999999999999998,1.0,-8.637804933975257e-05,1.5988593912372173e-17
56,accuracy,0.1,3253,15,20,0.5,1.2836796078665895,0.260771921961767,0.5309647116252258,0.6418398039332948,0.8711943793905905,0.334425118586502,0.028200000000000048,0.7857142857142856,0.875,0.02200000000000002,1.0408340855860843e-17
57,negative_brier,0.1,3253,15,20,1.0,1.2836796078665895,0.260771921961767,0.5309647116252258,1.2836796078665895,0.099560734364413,0.01792836478593795,0.0013944166619701325,0.9999999999999998,1.0,-0.0009589895409747307,7.101524229780054e-18
58,negative_cross_entropy,0.1,3253,15,20,1.0,1.2836796078665895,0.260771921961767,0.5309647116252258,1.2836796078665895,0.03735749889775021,0.005856133634595605,0.0012320907907682633,0.9999999999999998,1.0,-0.0011217999293804404,9.107298248878237e-18
59,accuracy,0.1,3253,15,20,1.0,1.2836796078665895,0.260771921961767,0.5309647116252258,1.2836796078665895,0.8686868686865316,0.22709769857402778,0.02415238095238107,0.9819805060619657,1.0,-0.02300000000000016,1.214306433183765e-17
60,negative_brier,0.1,3301,0,20,0.0625,1.646949895559287,0.36909712027883934,0.9538062954909903,0.10293436847245543,0.00012081487339128652,3.2654638582487707e-05,3.3904851081751263e-07,0.9999999999999998,1.0,-3.182811557089771e-07,1.7264649047410777e-18
61,negative_cross_entropy,0.1,3301,0,20,0.0625,1.646949895559287,0.36909712027883934,0.9538062954909903,0.10293436847245543,0.00010572318182801802,4.6522178732542675e-05,2.722673568398464e-06,0.9999999999999998,1.0,-2.7226735683782977e-06,1.1399898799740408e-17
62,accuracy,0.1,3301,0,20,0.0625,1.646949895559287,0.36909712027883934,0.9538062954909903,0.10293436847245543,0.8034682080901634,1.4999999997499978,0.009000000000000003,0.8164965809277261,1.0,0.009000000000000008,1.0842021724855044e-18
63,negative_brier,0.1,3301,0,20,0.125,1.646949895559287,0.36909712027883934,0.9538062954909903,0.20586873694491087,0.0005057387890600329,0.00014485986236948317,3.053341404827951e-06,0.9999999999999998,1.0,-3.0088560158403332e-06,2.3331522532119703e-18
64,negative_cross_entropy,0.1,3301,0,20,0.125,1.646949895559287,0.36909712027883934,0.9538062954909903,0.20586873694491087,0.0004258203543690558,0.00018329390213023784,2.1335129724658246e-05,0.9999999999999998,1.0,-2.1335129724686652e-05,1.4340267797015305e-17
65,accuracy,0.1,3301,0,20,0.125,1.646949895559287,0.36909712027883934,0.9538062954909903,0.20586873694491087,0.8288770053453773,0.4538437789146936,0.0070000000000000045,0.9258200997725515,0.875,0.007000000000000006,3.144186300207963e-18
66,negative_brier,0.1,3301,0,20,0.25,1.646949895559287,0.36909712027883934,0.9538062954909903,0.41173747388982174,0.0022490549568753952,0.0007496546521432886,3.2494391704952644e-05,0.9999999999999998,1.0,-3.2494391704940284e-05,5.8987374446789476e-18
67,negative_cross_entropy,0.1,3301,0,20,0.25,1.646949895559287,0.36909712027883934,0.9538062954909903,0.41173747388982174,0.0017164845659313642,0.0007045238917053998,0.0001617628423586496,0.9999999999999998,1.0,-0.00016176284235869254,1.3200161450011016e-17
68,accuracy,0.1,3301,0,20,0.25,1.646949895559287,0.36909712027883934,0.9538062954909903,0.41173747388982174,0.9107142857134727,0.23222222221835112,0.013933333333333294,0.9092412093166348,1.0,0.012999999999999984,1.214306433183765e-17
69,negative_brier,0.1,3301,0,20,0.5,1.646949895559287,0.36909712027883934,0.9538062954909903,0.8234749477796435,0.011522063876801587,0.004524723022066091,0.0004098486568473137,0.9999999999999998,1.0,-0.0004098486568472892,1.315950386854281e-17
70,negative_cross_entropy,0.1,3301,0,20,0.5,1.646949895559287,0.36909712027883934,0.9538062954909903,0.8234749477796435,0.006817749088878785,0.0024911514084002347,0.001100795426078811,0.9999999999999998,1.0,-0.0010861906009318467,8.142358315366138e-17
71,accuracy,0.1,3301,0,20,0.5,1.646949895559287,0.36909712027883934,0.9538062954909903,0.8234749477796435,0.8646616541349322,0.10411450825628148,0.019604761904761916,0.8571428571428571,1.0,-0.005999999999999978,2.862293735361732e-17
72,negative_brier,0.1,3301,0,20,1.0,1.646949895559287,0.36909712027883934,0.9538062954909903,1.646949895559287,0.06629106876696,0.024799145787787344,0.004563515523014498,0.9999999999999998,1.0,-0.0045635155230145386,2.190088388420719e-17
73,negative_cross_entropy,0.1,3301,0,20,1.0,1.646949895559287,0.36909712027883934,0.9538062954909903,1.646949895559287,0.025135364862465013,0.005468322736353701,0.004295355490629069,0.9999999999999998,1.0,-0.0035045016812936813,9.128982292327947e-17
74,accuracy,0.1,3301,0,20,1.0,1.646949895559287,0.36909712027883934,0.9538062954909903,1.646949895559287,0.7872044506255957,0.14577526132359742,0.047814285714285726,0.9999999999999998,0.875,-0.02300000000000013,4.683753385137379e-17
75,negative_brier,0.1,3301,15,20,0.0625,1.2601816854071917,0.2639517390975913,0.59369582483033,0.07876135533794948,0.00037372733504037784,3.273488454362537e-05,1.8363690912068714e-07,0.9999999999999998,1.0,-5.500879951547688e-08,7.000909288791554e-19
76,negative_cross_entropy,0.1,3301,15,20,0.0625,1.2601816854071917,0.2639517390975913,0.59369582483033,0.07876135533794948,0.00012230776285950722,1.5805569489246313e-05,2.6226301420086444e-07,0.9999999999999998,1.0,2.360336002205088e-07,2.22208505800325e-18
77,accuracy,0.1,3301,15,20,0.0625,1.2601816854071917,0.2639517390975913,0.59369582483033,0.07876135533794948,0.9175627240126926,0.7681564244683572,0.005238095238095241,0.7715167498104596,0.875,-0.0040000000000000036,3.469446951953614e-18
78,negative_brier,0.1,3301,15,20,0.125,1.2601816854071917,0.2639517390975913,0.59369582483033,0.15752271067589896,0.0015292670805946353,0.00013605045859039398,1.5213408134325034e-06,0.9999999999999998,1.0,-4.794606164315596e-07,4.544199413121313e-19
79,negative_cross_entropy,0.1,3301,15,20,0.125,1.2601816854071917,0.2639517390975913,0.59369582483033,0.15752271067589896,0.0004974855097617056,6.370740562434037e-05,2.098783427730152e-06,0.9999999999999998,1.0,1.8457639661129122e-06,1.2110030046894732e-17
80,accuracy,0.1,3301,15,20,0.125,1.2601816854071917,0.2639517390975913,0.59369582483033,0.15752271067589896,0.909297052153164,0.21309872921901304,0.0051904761904762045,0.9092412093166348,0.75,0.0,1.0408340855860843e-17
81,negative_brier,0.1,3301,15,20,0.25,1.2601816854071917,0.2639517390975913,0.59369582483033,0.3150454213517979,0.006372302044962047,0.0005850865962466747,1.2985707901518083e-05,0.9999999999999998,1.0,-4.459312818116956e-06,1.2626084870009414e-18
82,negative_cross_entropy,0.1,3301,15,20,0.25,1.2601816854071917,0.2639517390975913,0.59369582483033,0.3150454213517979,0.002052807931202371,0.000258342054999328,1.6765471877579294e-05,0.9999999999999998,1.0,1.4049026416218524e-05,8.361062222347199e-18
83,accuracy,0.1,3301,15,20,0.25,1.2601816854071917,0.2639517390975913,0.59369582483033,0.3150454213517979,0.8968152866236326,0.3383443575795699,0.016076190476190494,0.9999999999999998,0.875,-0.015000000000000013,7.589415207398531e-18
84,negative_brier,0.1,3301,15,20,0.5,1.2601816854071917,0.2639517390975913,0.59369582483033,0.6300908427035958,0.027328063646441855,0.0026621342912546667,0.00011593406652901379,0.9999999999999998,1.0,-4.521329372236815e-05,3.7015339795012925e-18
85,negative_cross_entropy,0.1,3301,15,20,0.5,1.2601816854071917,0.2639517390975913,0.59369582483033,0.6300908427035958,0.008654044664089975,0.001055199978726697,0.00013258603405449194,0.9999999999999998,1.0,9.984046909206068e-05,8.592302216947623e-18
86,accuracy,0.1,3301,15,20,0.5,1.2601816854071917,0.2639517390975913,0.59369582483033,0.6300908427035958,0.8705255140895389,0.16229307750027824,0.016433333333333338,0.8571428571428571,1.0,0.01400000000000004,1.9081958235744878e-17
87,negative_brier,0.1,3301,15,20,1.0,1.2601816854071917,0.2639517390975913,0.59369582483033,1.2601816854071917,0.11514894387997907,0.013017353210682068,0.0010736682207217651,0.9999999999999998,1.0,-0.0004846352748855698,1.3118846287074604e-17
88,negative_cross_entropy,0.1,3301,15,20,1.0,1.2601816854071917,0.2639517390975913,0.59369582483033,1.2601816854071917,0.03724579193977677,0.0043108008099924005,0.0010066948792994677,0.9999999999999998,1.0,0.0005782106116669627,1.759118024857731e-17
89,accuracy,0.1,3301,15,20,1.0,1.2601816854071917,0.2639517390975913,0.59369582483033,1.2601816854071917,0.854813664595942,0.42968044773017483,0.04533333333333325,0.7857142857142856,0.875,-0.042999999999999955,1.214306433183765e-17
90,negative_brier,0.1,3463,0,20,0.0625,1.618052820283065,0.34747526835704146,0.8593726102416369,0.10112830126769157,0.00012028275695074698,3.613571952527446e-05,3.3151777778590483e-07,0.9999999999999998,1.0,-3.31517777785173e-07,1.6355412118092489e-18
91,negative_cross_entropy,0.1,3463,0,20,0.0625,1.618052820283065,0.34747526835704146,0.8593726102416369,0.10112830126769157,9.033546133735448e-05,3.196061502919703e-05,1.64708765966904e-06,0.9999999999999998,1.0,-1.5402761819327537e-06,6.0303451888585845e-18
92,accuracy,0.1,3463,0,20,0.0625,1.618052820283065,0.34747526835704146,0.8593726102416369,0.10112830126769157,0.8782608695633082,1.2180974474990693,0.005,0.6813851438692469,0.875,0.0050000000000000044,2.8189256484623115e-18
93,negative_brier,0.1,3463,0,20,0.125,1.618052820283065,0.34747526835704146,0.8593726102416369,0.20225660253538313,0.0005060701322001192,0.00015356882893437156,2.8623823658522653e-06,0.9999999999999998,1.0,-2.858900030044964e-06,2.1477579168816853e-18
94,negative_cross_entropy,0.1,3463,0,20,0.125,1.618052820283065,0.34747526835704146,0.8593726102416369,0.20225660253538313,0.00036521517367193177,0.00012756908068094701,1.3094208190308262e-05,0.9999999999999998,1.0,-1.2084620270913504e-05,6.640738306473715e-18
95,accuracy,0.1,3463,0,20,0.125,1.618052820283065,0.34747526835704146,0.8593726102416369,0.20225660253538313,0.8988549618312035,0.8277027026537673,0.013999999999999992,0.8894991799933214,0.75,0.013999999999999985,7.806255641895632e-18
96,negative_brier,0.1,3463,0,20,0.25,1.618052820283065,0.34747526835704146,0.8593726102416369,0.40451320507076627,0.002233210468167806,0.0006885475765041203,2.644125916520263e-05,0.9999999999999998,1.0,-2.636455562776696e-05,3.914139249262122e-18
97,negative_cross_entropy,0.1,3463,0,20,0.25,1.618052820283065,0.34747526835704146,0.8593726102416369,0.40451320507076627,0.0014874138665936871,0.0005036060804326266,0.00010232420201329584,0.9999999999999998,1.0,-9.179346811949429e-05,1.8768556045260787e-17
98,accuracy,0.1,3463,0,20,0.25,1.618052820283065,0.34747526835704146,0.8593726102416369,0.40451320507076627,0.9138972809660765,0.4908747639932499,0.026000000000000023,0.9999999999999998,0.875,0.026000000000000023,1.5612511283791264e-17
99,negative_brier,0.1,3463,0,20,0.5,1.618052820283065,0.34747526835704146,0.8593726102416369,0.8090264101415325,0.01074860471053015,0.0032878009144936683,0.00026547367973946633,0.9999999999999998,1.0,-0.0002646306903532625,1.003564635906895e-17
100,negative_cross_entropy,0.1,3463,0,20,0.5,1.618052820283065,0.34747526835704146,0.8593726102416369,0.8090264101415325,0.006062371334312463,0.0018761103150416536,0.0007406949370873522,0.9999999999999998,1.0,-0.0006197430923140512,6.105413483808997e-17
101,accuracy,0.1,3463,0,20,0.5,1.618052820283065,0.34747526835704146,0.8593726102416369,0.8090264101415325,0.8831985624434487,0.11247626493846699,0.019180952380952382,0.8571428571428571,0.75,0.011000000000000038,1.5612511283791264e-17
102,negative_brier,0.1,3463,0,20,1.0,1.618052820283065,0.34747526835704146,0.8593726102416369,1.618052820283065,0.05799275619583936,0.012957702541185053,0.0021933815546827454,0.9999999999999998,1.0,-0.002193381554682794,3.979021973021801e-17
