profile,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
4,authorized_public_clip,0,2,0.0001638273659267962,0.00016382746416288008,4.9521239308861334e-06,0.00015887534023199394,0.0001687795880937662,1.0231730357774673e-10,48399.67197848619
4,authorized_public_clip,1,3,0.00046447323684168523,0.0004644723605902179,4.936387219241941e-06,0.00045953597337097595,0.00046940874780945985,8.798459376475523e-10,5610.513168294417
4,authorized_public_clip,2,4,0.0005718725197922619,0.000571872311040833,4.931459442021716e-06,0.0005669408515988113,0.0005768037704828548,2.1442547817321412e-10,22998.477065482188
4,authorized_public_clip,3,5,0.0005868276860380617,0.0005868271680247172,4.793545221915451e-06,0.0005820336228028018,0.0005916207132466327,5.228441021464531e-10,9168.211331516057
4,authorized_public_clip,4,6,0.0012853274371968438,0.0012853270030561692,4.614307860314474e-06,0.0012807126951958547,0.0012899413109164837,4.4006098844909306e-10,10485.609907337343
4,authorized_public_clip,5,7,0.0009253706169321289,0.000925370324824426,4.824848698922871e-06,0.0009205454761255032,0.0009301951735233489,2.9652624879963955e-10,16271.236419892743
4,authorized_public_clip,6,9,0.0013620380401411774,0.001362037741237332,4.834906475389663e-06,0.0013572028347619421,0.0013668726477127217,3.0282735658333374e-10,15965.88409296888
4,authorized_public_clip,7,10,0.0010510234191943805,0.0010510233827802917,4.7671451116701415e-06,0.0010462562376686215,0.001055790527891962,4.097378072379141e-11,116346.23477403686
4,oracle_bernstein,0,2,0.0001638273659267962,0.00016382746416288008,1.0231730357774673e-10,0.0001638273618455765,0.00016382756648018366,1.0231730357774673e-10,1.0
4,oracle_bernstein,1,3,0.00046447323684168523,0.0004644723605902179,8.798459376475523e-10,0.00046447300696142793,0.00046447324043615555,8.798459376475523e-10,1.0
4,oracle_bernstein,2,4,0.0005718725197922619,0.000571872311040833,2.1442547817321412e-10,0.0005718722919915839,0.0005718725254663112,2.1442547817321412e-10,1.0
4,oracle_bernstein,3,5,0.0005868276860380617,0.0005868271680247172,5.228441021464531e-10,0.0005868274573940921,0.0005868276908688193,5.228441021464531e-10,1.0
4,oracle_bernstein,4,6,0.0012853274371968438,0.0012853270030561692,4.4006098844909306e-10,0.0012853272096424303,0.0012853274431171577,4.4006098844909306e-10,1.0
4,oracle_bernstein,5,7,0.0009253706169321289,0.000925370324824426,2.9652624879963955e-10,0.0009253703878759475,0.0009253706213506748,2.9652624879963955e-10,1.0
4,oracle_bernstein,6,9,0.0013620380401411774,0.001362037741237332,3.0282735658333374e-10,0.0013620378105899614,0.0013620380440646884,3.0282735658333374e-10,1.0
4,oracle_bernstein,7,10,0.0010510234191943805,0.0010510233827802917,4.097378072379141e-11,0.001051023341806511,0.0010510234237540725,4.097378072379141e-11,1.0
5,authorized_public_clip,0,1,0.0022045529835865527,0.0022045501897961506,4.930167369134584e-06,0.002199620022427016,0.002209480357165285,3.073878041792628e-09,1603.8916645695556
5,authorized_public_clip,1,2,0.001679946497538735,0.001679946353461137,4.965686352186896e-06,0.00167498066710895,0.0016849120398133239,4.5318608205364583e-10,10957.279026938617
5,authorized_public_clip,2,3,0.002307492660154166,0.002307489783388128,4.949930972344476e-06,0.0023025398524157835,0.0023124397143604726,3.13674738115676e-09,1578.0457814613865
5,authorized_public_clip,3,5,0.0009982406504486423,0.0009982420876185616,4.806910269040231e-06,0.0009934351773495213,0.0010030489978876019,1.717815261207688e-09,2798.2696263047487
5,authorized_public_clip,4,6,0.0010666924096805505,0.001066691010376597,4.627425462718285e-06,0.0010620635849138786,0.0010713184358393153,1.6852640032223225e-09,2745.8163551054195
5,authorized_public_clip,5,8,0.0004831570991145964,0.00048315830728229425,4.7446778002538494e-06,0.0004784136294820404,0.0004879029850825481,1.4113735003520966e-09,3361.744994553313
5,authorized_public_clip,6,9,0.0010402622210579915,0.0010402593207009536,4.8483249741339735e-06,0.0010354109957268196,0.0010451076456750876,3.0924242063966886e-09,1567.8072122528336
5,authorized_public_clip,7,10,0.0016252050439981428,0.0016252016808506742,4.78047532060388e-06,0.0016204212055300703,0.001629982156171278,3.521730648644131e-09,1357.4221874249147
5,oracle_bernstein,0,1,0.0022045529835865527,0.0022045501897961506,3.073878041792628e-09,0.0022045471159181087,0.0022045532636741924,3.073878041792628e-09,1.0
5,oracle_bernstein,1,2,0.001679946497538735,0.001679946353461137,4.5318608205364583e-10,0.001679945900275055,0.001679946806647219,4.5318608205364583e-10,1.0
5,oracle_bernstein,2,3,0.002307492660154166,0.002307489783388128,3.13674738115676e-09,0.0023074866466407467,0.0023074929201355094,3.13674738115676e-09,1.0
5,oracle_bernstein,3,5,0.0009982406504486423,0.0009982420876185616,1.717815261207688e-09,0.0009982403698033005,0.0009982438054338227,1.717815261207688e-09,1.0
5,oracle_bernstein,4,6,0.0010666924096805505,0.001066691010376597,1.6852640032223225e-09,0.0010666893251125938,0.0010666926956406002,1.6852640032223225e-09,1.0
5,oracle_bernstein,5,8,0.0004831570991145964,0.00048315830728229425,1.4113735003520966e-09,0.0004831568959087939,0.0004831597186557946,1.4113735003520966e-09,1.0
5,oracle_bernstein,6,9,0.0010402622210579915,0.0010402593207009536,3.0924242063966886e-09,0.0010402562282767472,0.00104026241312516,3.0924242063966886e-09,1.0
5,oracle_bernstein,7,10,0.0016252050439981428,0.0016252016808506742,3.521730648644131e-09,0.0016251981591200255,0.0016252052025813228,3.521730648644131e-09,1.0
6,authorized_public_clip,0,1,-0.00017559231992989152,-0.00017559209757000982,4.9308151998782224e-06,-0.00018052291276988804,-0.0001706612823701316,2.2955748493194761e-10,21479.653348441087
6,authorized_public_clip,1,2,0.000890478097642515,0.0008904777839160438,4.966336305503555e-06,0.0008855114476105403,0.0008954441202215474,3.153895671144016e-10,15746.67276074516
6,authorized_public_clip,2,4,0.00043186980889917907,0.00043186986085475,4.945646030252418e-06,0.00042692421482449757,0.0004368155068850024,5.959347909951652e-11,82989.71808632906
6,authorized_public_clip,3,5,0.0008252976629048274,0.0008252975730216328,4.807550368162354e-06,0.0008204900226534704,0.0008301051233897952,9.10885819215562e-11,52778.847433397605
6,authorized_public_clip,4,6,0.0005743850440109159,0.0005743846465499081,4.6280533031183325e-06,0.0005697565932467897,0.0005790126998530264,3.9765194920577826e-10,11638.452451602072
6,authorized_public_clip,5,8,0.0009273350141112679,0.0009273343617284269,4.7453137820183556e-06,0.0009225890479464085,0.0009320796755104453,6.545225480713297e-10,7250.038667118941
6,authorized_public_clip,6,9,0.0011010074099328472,0.0011010072041396368,4.848967734143599e-06,0.0010961582364054931,0.0011058561718737805,2.0608181907624868e-10,23529.33294105638
6,authorized_public_clip,7,10,0.001141193111224744,0.0011411932054359308,4.781113688156936e-06,0.001136412091747774,0.0011459743191240877,9.756380968294582e-11,49004.991745342595
6,oracle_bernstein,0,1,-0.00017559231992989152,-0.00017559209757000982,2.2955748493194761e-10,-0.00017559232712749474,-0.0001755918680125249,2.2955748493194761e-10,1.0
6,oracle_bernstein,1,2,0.000890478097642515,0.0008904777839160438,3.153895671144016e-10,0.0008904774685264767,0.0008904780993056109,3.153895671144016e-10,1.0
6,oracle_bernstein,2,4,0.00043186980889917907,0.00043186986085475,5.959347909951652e-11,0.0004318698012612709,0.00043186992044822906,5.959347909951652e-11,1.0
6,oracle_bernstein,3,5,0.0008252976629048274,0.0008252975730216328,9.10885819215562e-11,0.0008252974819330509,0.0008252976641102146,9.10885819215562e-11,1.0
6,oracle_bernstein,4,6,0.0005743850440109159,0.0005743846465499081,3.9765194920577826e-10,0.0005743842834727052,0.0005743850442018573,3.9765194920577826e-10,1.0
6,oracle_bernstein,5,8,0.0009273350141112679,0.0009273343617284269,6.545225480713297e-10,0.0009273342555218226,0.0009273350162509749,6.545225480713297e-10,1.0
6,oracle_bernstein,6,9,0.0011010074099328472,0.0011010072041396368,2.0608181907624868e-10,0.0011010069980578177,0.001101007410221456,2.0608181907624868e-10,1.0
6,oracle_bernstein,7,10,0.001141193111224744,0.0011411932054359308,9.756380968294582e-11,0.0011411931078721212,0.0011411933029997405,9.756380968294582e-11,1.0
7,authorized_public_clip,0,2,0.0002373436344428782,0.00023734444756273732,4.9782157882020836e-06,0.00023236623177453524,0.0002423226633509394,8.211164719125111e-10,6062.740133086145
7,authorized_public_clip,1,4,0.001330986119967847,0.001330984632321952,4.957503542895276e-06,0.0013260271287790569,0.0013359421358648473,1.4952280902905224e-09,3315.550032190764
7,authorized_public_clip,2,5,-5.580529032097471e-05,-5.580468842980579e-05,4.819253597658371e-06,-6.0623942027464165e-05,-5.098543483214742e-05,6.070042624686899e-10,7939.406517605722
7,authorized_public_clip,3,6,7.45141593728677e-05,7.45145896111632e-05,4.639536430034056e-06,6.987505318112914e-05,7.915412604119725e-05,4.410117464399479e-10,10520.210555583959
7,authorized_public_clip,4,7,0.0005430471096260726,0.0005430473319758544,4.850635855961082e-06,0.0005381966961198933,0.0005478979678318155,2.313273654703709e-10,20968.70746830152
7,authorized_public_clip,5,8,0.00026894484131986807,0.00026894469443383695,4.756943176135224e-06,0.0002641877512577017,0.0002737016376099722,1.5591013745218893e-10,30510.800990050935
7,authorized_public_clip,6,9,0.00046879136228376476,0.00046879122909393445,4.860718624731345e-06,0.0004639305104692031,0.0004736519477186658,1.4231053452691137e-10,34155.71897674355
7,authorized_public_clip,7,10,0.001084269102159645,0.0010842684068832487,4.792785878191443e-06,0.0010794756210050572,0.0010890611927614402,7.044362878793348e-10,6803.71803760969
7,oracle_bernstein,0,2,0.0002373436344428782,0.00023734444756273732,8.211164719125111e-10,0.0002373436264462654,0.00023734526867920922,8.211164719125111e-10,1.0
