seed,epsilon,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
8501,0.5,oracle_bernstein,3,27,0.00047592196537537824,0.00047592191200507283,5.502122911348567e-11,0.0004759218569838437,0.00047592196702630194,5.502122911348567e-11,1.0
8501,0.5,oracle_bernstein,4,23,0.0004652639107332483,0.0004652648403118964,9.33862543650494e-10,0.00046526390644935275,0.0004652657741744401,9.33862543650494e-10,1.0
8501,0.5,oracle_bernstein,5,5,0.0003255206745431363,0.00032552101604793604,3.423150844856695e-10,0.00032552067373285156,0.0003255213583630205,3.423150844856695e-10,1.0
8501,0.5,oracle_bernstein,6,15,0.0003643506324317819,0.00036435119361677426,5.633178191169584e-10,0.00036435063029895517,0.00036435175693459336,5.633178191169584e-10,1.0
8501,0.5,oracle_bernstein,7,28,0.000435020638723142,0.0004350216981212629,1.0636317760473566e-09,0.0004350206344894869,0.0004350227617530389,1.0636317760473566e-09,1.0
8501,1.0,authorized_public_clip,0,25,0.00029475092116411947,0.0002947402606130467,4.225428382132414e-05,0.0002524859767917226,0.0003369945444343708,1.0695692443629587e-08,3950.5888977287323
8501,1.0,authorized_public_clip,1,30,0.000679558984890889,0.0006795608606647852,4.0392066932809984e-05,0.0006391687937319752,0.0007199529275975951,1.8802744369494093e-09,21482.006104567794
8501,1.0,authorized_public_clip,2,22,0.0005632671255403152,0.0005632747814150463,3.5569624051703316e-05,0.000527705157363343,0.0005988444054667495,7.737061251737187e-09,4597.304182349201
8501,1.0,authorized_public_clip,3,27,0.0009504477563007426,0.000950447305011759,3.9875042236845925e-05,0.0009105722627749131,0.000990322347248605,4.777184951916171e-10,83469.74764050468
8501,1.0,authorized_public_clip,4,23,0.0009263228898304253,0.0009263302889479519,3.9576552236062524e-05,0.0008867537367118894,0.0009659068411840144,7.467791515599168e-09,5299.632716498936
8501,1.0,authorized_public_clip,5,5,0.0006510144465845178,0.000651017154109923,3.397754349153135e-05,0.0006170396106183917,0.0006849946976014543,2.720643211517799e-09,12488.790646156016
8501,1.0,authorized_public_clip,6,15,0.0007242789303499877,0.0007242833867853182,3.614227278569448e-05,0.0006881411139996237,0.0007604256595710127,4.490466499440434e-09,8048.667725323915
8501,1.0,authorized_public_clip,7,28,0.0008619174956515221,0.0008619259243020094,4.031861941979855e-05,0.0008216073048822109,0.000902244543721808,8.496378638482027e-09,4745.388727991284
8501,1.0,oracle_bernstein,0,25,0.00029475092116411947,0.0002947402606130467,1.0695692443629587e-08,0.00029472956492060306,0.00029475095630549034,1.0695692443629587e-08,1.0
8501,1.0,oracle_bernstein,1,30,0.000679558984890889,0.0006795608606647852,1.8802744369494093e-09,0.0006795589803903483,0.0006795627409392221,1.8802744369494093e-09,1.0
8501,1.0,oracle_bernstein,2,22,0.0005632671255403152,0.0005632747814150463,7.737061251737187e-09,0.0005632670443537945,0.000563282518476298,7.737061251737187e-09,1.0
8501,1.0,oracle_bernstein,3,27,0.0009504477563007426,0.000950447305011759,4.777184951916171e-10,0.0009504468272932638,0.0009504477827302542,4.777184951916171e-10,1.0
8501,1.0,oracle_bernstein,4,23,0.0009263228898304253,0.0009263302889479519,7.467791515599168e-09,0.0009263228211564363,0.0009263377567394675,7.467791515599168e-09,1.0
8501,1.0,oracle_bernstein,5,5,0.0006510144465845178,0.000651017154109923,2.720643211517799e-09,0.0006510144334667115,0.0006510198747531345,2.720643211517799e-09,1.0
8501,1.0,oracle_bernstein,6,15,0.0007242789303499877,0.0007242833867853182,4.490466499440434e-09,0.0007242788963188188,0.0007242878772518176,4.490466499440434e-09,1.0
8501,1.0,oracle_bernstein,7,28,0.0008619174956515221,0.0008619259243020094,8.496378638482027e-09,0.0008619174279233709,0.0008619344206806479,8.496378638482027e-09,1.0
8502,0.25,authorized_public_clip,0,3,0.0002454733315206244,0.0002454735075431702,6.023749844494141e-07,0.0002448711325587208,0.0002460758825276196,1.7614965122084215e-10,3419.677417891706
8502,0.25,authorized_public_clip,1,19,0.00014635114973881726,0.00014635127883894095,6.259325670552693e-07,0.00014572534627188568,0.0001469772114059962,1.2973292890323543e-10,4824.777890601213
8502,0.25,authorized_public_clip,2,1,0.0001736470013029884,0.00017364692606547383,6.099088760759567e-07,0.00017303701718939787,0.00017425683494154978,7.534678516654734e-11,8094.6901016122665
8502,0.25,authorized_public_clip,3,11,0.00017323276083218398,0.00017323254362683338,5.700187863937262e-07,0.00017266252484043966,0.0001738025624132271,2.1773736597425636e-10,2617.918995406241
8502,0.25,authorized_public_clip,4,30,0.00019217045811486012,0.0001921701004327092,6.533023609216148e-07,0.00019151679807178758,0.00019282340279363084,3.5775205100555044e-10,1826.1316995537754
8502,0.25,authorized_public_clip,5,22,0.0001640240988179474,0.0001640242719230245,5.76616408001433e-07,0.00016344765551502306,0.00016460088833102592,1.7348585611042486e-10,3323.708462057062
8502,0.25,authorized_public_clip,6,29,0.00020519058362523373,0.00020519061492652035,6.061529554573265e-07,0.00020458446197106303,0.00020579676788197768,3.1306273188545856e-11,19362.028555960533
8502,0.25,authorized_public_clip,7,6,0.00018375764812761036,0.0001837578583694932,5.818485939198852e-07,0.00018317600977557332,0.0001843397069634131,2.1084889469938418e-10,2759.552497296466
8502,0.25,oracle_bernstein,0,3,0.0002454733315206244,0.0002454735075431702,1.7614965122084215e-10,0.000245473331393519,0.00024547368369282145,1.7614965122084215e-10,1.0
8502,0.25,oracle_bernstein,1,19,0.00014635114973881726,0.00014635127883894095,1.2973292890323543e-10,0.00014635114910601204,0.00014635140857186985,1.2973292890323543e-10,1.0
8502,0.25,oracle_bernstein,2,1,0.0001736470013029884,0.00017364692606547383,7.534678516654734e-11,0.00017364685071868867,0.00017364700141225898,7.534678516654734e-11,1.0
8502,0.25,oracle_bernstein,3,11,0.00017323276083218398,0.00017323254362683338,2.1773736597425636e-10,0.0001732323258894674,0.00017323276136419936,2.1773736597425636e-10,1.0
8502,0.25,oracle_bernstein,4,30,0.00019217045811486012,0.0001921701004327092,3.5775205100555044e-10,0.00019216974268065822,0.0001921704581847602,3.5775205100555044e-10,1.0
8502,0.25,oracle_bernstein,5,22,0.0001640240988179474,0.0001640242719230245,1.7348585611042486e-10,0.00016402409843716838,0.0001640244454088806,1.7348585611042486e-10,1.0
8502,0.25,oracle_bernstein,6,29,0.00020519058362523373,0.00020519061492652035,3.1306273188545856e-11,0.00020519058362024716,0.00020519064623279355,3.1306273188545856e-11,1.0
8502,0.25,oracle_bernstein,7,6,0.00018375764812761036,0.0001837578583694932,2.1084889469938418e-10,0.00018375764752059852,0.0001837580692183879,2.1084889469938418e-10,1.0
8502,0.5,authorized_public_clip,0,3,0.0004904280011816944,0.0004904294069038584,4.818999875595313e-06,0.00048561040702826307,0.0004952484067794537,1.4077634436540742e-09,3423.160259856465
8502,0.5,authorized_public_clip,1,19,0.0002904345972449813,0.0002904356301503541,5.0074605364421545e-06,0.00028542816961391195,0.0002954430906867963,1.042996097696083e-09,4801.034776163919
8502,0.5,authorized_public_clip,2,1,0.00034485664208523073,0.00034485604664791225,4.879271008607654e-06,0.0003399767756393046,0.0003497353176565199,5.971469438036676e-10,8170.9720852425235
8502,0.5,authorized_public_clip,3,11,0.0003461391284252932,0.00034613739316241565,4.56015029114981e-06,0.0003415772428712658,0.0003506975434535655,1.74378065770726e-09,2615.093974689191
