seed,epsilon,method,clients,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
8515,0.5,oracle_bernstein,8,0.002724360236500467,0.0027243602365004662,7.027324160595446e-09,2.5794401429976985e-06,1.0,8,True,8,28,28,True,1.4095447599643107e-08,5.1738560142014605e-06
8515,1.0,authorized_public_clip,8,0.0054129289148148185,0.0054129289148148185,5.627891372568007e-08,1.0397127802889002e-05,4976.655914588995,8,True,8,28,23,False,0.0006171718305293378,0.11401809263117466
8515,1.0,oracle_bernstein,8,0.0054129289148148185,0.0054129289148148185,5.627891372568007e-08,1.0397127802889002e-05,1.0,8,True,8,28,28,True,1.1320969663011337e-07,2.0914683785953928e-05
8516,0.25,authorized_public_clip,8,0.0014429595287429597,0.0014429595287429597,7.516714472805951e-10,5.209234436495204e-07,7965.495961158189,8,True,8,28,27,False,9.651295485504127e-06,0.006688542046098376
8516,0.25,oracle_bernstein,8,0.0014429595287429597,0.0014429595287429597,7.516714472805951e-10,5.209234436495204e-07,1.0,8,True,8,28,28,True,1.5397511445112283e-11,1.067078537390103e-08
8516,0.5,authorized_public_clip,8,0.0028774911502997824,0.002877491150299782,5.998545549846081e-09,2.084644307989096e-06,7942.984878732182,8,True,8,28,27,False,7.721036388403263e-05,0.026832528694017425
8516,0.5,oracle_bernstein,8,0.0028774911502997824,0.002877491150299782,5.998545549846081e-09,2.084644307989096e-06,1.0,8,True,8,28,28,True,2.45518323824679e-10,8.532374590058313e-08
8516,1.0,authorized_public_clip,8,0.005721359313286212,0.005721359313286213,4.7749731168513464e-08,8.345871766746507e-06,7898.565389846406,8,True,8,28,23,False,0.0006176829110722613,0.10796086683979265
8516,1.0,oracle_bernstein,8,0.005721359313286212,0.005721359313286213,4.7749731168513464e-08,8.345871766746507e-06,1.0,8,True,8,28,28,True,3.936059978328684e-09,6.879588856620763e-07
8517,0.25,authorized_public_clip,8,0.0013545189021677562,0.0013545189021677566,8.509512855914714e-10,6.282313842954774e-07,4496.374675950069,8,True,8,28,28,True,9.622249785552577e-06,0.007103813585066569
8517,0.25,oracle_bernstein,8,0.0013545189021677562,0.0013545189021677566,8.509512855914714e-10,6.282313842954774e-07,1.0,8,True,8,28,28,True,1.6308800782831138e-09,1.204029027922049e-06
8517,0.5,authorized_public_clip,8,0.0026972219394493235,0.0026972219394493235,6.812153808763172e-09,2.5256185657559764e-06,4496.496472246887,8,True,8,28,28,True,7.697799828441986e-05,0.028539734580238615
8517,0.5,oracle_bernstein,8,0.0026972219394493235,0.0026972219394493235,6.812153808763172e-09,2.5256185657559764e-06,1.0,8,True,8,28,28,True,1.3073005510777112e-08,4.846840860488964e-06
8517,1.0,authorized_public_clip,8,0.0053472924786601705,0.0053472924786601705,5.4565431725675084e-08,1.0204310299694474e-05,4497.518433248022,8,True,8,28,25,True,0.0006158239862753587,0.11516556998103372
8517,1.0,oracle_bernstein,8,0.0053472924786601705,0.0053472924786601705,5.4565431725675084e-08,1.0204310299694474e-05,1.0,8,True,8,28,28,True,1.0499028800015943e-07,1.9634289390288173e-05
8518,0.25,authorized_public_clip,8,0.001522717737732715,0.0015227177377327152,3.626237143826666e-09,2.381424377997073e-06,1297.139494113745,8,True,8,28,28,True,9.646939118222595e-06,0.006335342967930011
8518,0.25,oracle_bernstein,8,0.001522717737732715,0.0015227177377327152,3.626237143826666e-09,2.381424377997073e-06,1.0,8,True,8,28,28,True,5.480361974505906e-11,3.5990662189743373e-08
8518,0.5,authorized_public_clip,8,0.003021692076934146,0.0030216920769341456,2.910464352894526e-08,9.631902516302511e-06,1287.354766794926,8,True,8,28,28,True,7.71755129457813e-05,0.025540495508908453
8518,0.5,oracle_bernstein,8,0.003021692076934146,0.0030216920769341456,2.910464352894526e-08,9.631902516302511e-06,1.0,8,True,8,28,28,True,8.671302707721328e-10,2.869684429807844e-07
